time,m1_pos_actual,m1_vel_actual,m1_torque,m2_pos_actual,m2_vel_actual,m2_torque,m3_pos_actual,m3_vel_actual,m3_torque,m4_pos_actual,m4_vel_actual,m4_torque,m5_pos_actual,m5_vel_actual,m5_torque,m6_pos_actual,m6_vel_actual,m6_torque,m1_acc_actual,m2_acc_actual,m3_acc_actual,m4_acc_actual,m5_acc_actual,m6_acc_actual,source
0.026,0.0314717326619362,-0.0305250305250304,3.7606837606837473,0.4089918059052433,-0.0048840048840048,0.4981684981684964,-0.0201332112611574,0.0146520146520146,1.3772893772893724,-0.0123979552910657,-0.0024420024420024,-0.034188034188034,0.3332188906691069,-0.0024420024420024,-0.3213675213675202,3.504425116350042,-0.0073260073260073,-0.0122100122100121,-3.052503052503049,0.0,2.4420024420024498,0.0,0.0,-3.66300366300365,dynamics_20250930_183525_static.csv
0.036,0.0299458304722666,-0.006105006105006,4.053724053724039,0.4093752956435512,-0.0048840048840048,0.146520146520146,-0.0047936217288473,-0.0048840048840048,-0.6153846153846132,-0.0123979552910657,0.0024420024420024,-0.034188034188034,0.3328374151216895,-0.0024420024420024,-0.3076923076923066,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.05250305250305,0.0,0.0,-1.2210012210012,0.0,3.66300366300365,dynamics_20250930_183525_static.csv
0.058,0.0261310749980925,-0.006105006105006,4.932844932844915,-0.3161872892347599,-0.0048840048840048,0.6739926739926716,0.848471046005951,-0.1416361416361411,1.0842490842490804,0.4636835278858644,-0.0073260073260073,-0.2119658119658112,0.8363851377126732,-0.0024420024420024,-0.9094017094017096,-2.5431067368581672,-0.0073260073260073,-0.017094017094017,3.052503052503,0.0,2.442002442002426,2.442002442002425,0.0,0.0,dynamics_20250930_194945_static.csv
0.078,0.0257495994506751,-0.0305250305250304,5.030525030525013,-0.31465333028153,0.0244200244200243,0.8498168498168468,0.8423352101930259,-0.0048840048840048,2.2564102564102484,0.4636835278858644,-0.0024420024420024,-0.2119658119658112,0.8363851377126732,-0.0073260073260073,-0.8957264957264961,-2.5431067368581672,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_194945_static.csv
0.08,0.0253681239032577,-0.0305250305250304,5.12820512820511,-0.314269840543222,0.0244200244200243,0.73260073260073,0.8423352101930259,-0.0048840048840048,1.4945054945054892,0.4636835278858644,-0.0024420024420024,-0.2256410256410248,0.8363851377126732,-0.0073260073260073,-0.8820512820512825,-2.5431067368581672,-0.0073260073260073,-0.017094017094017,0.0,0.0,0.0,0.0,0.0,0.0,dynamics_20250930_194945_static.csv
0.082,0.015449759670405,-0.006105006105006,5.714285714285694,-0.0557977569237806,-0.0048840048840048,0.3809523809523796,0.044676554512856,0.0146520146520146,1.3772893772893724,-0.0123979552910657,-0.0073260073260073,-0.0205128205128204,0.3397039749752029,-0.0024420024420024,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,3.052503052503,0.0,2.4420024420024244,2.442002442002425,0.0,0.0,dynamics_20250930_183525_static.csv
0.092,0.0226977950713358,-0.0427350427350425,5.909645909645889,-0.3138863508049141,-0.0048840048840048,0.439560439560438,0.8423352101930259,-0.0048840048840048,1.5531135531135476,0.4636835278858644,-0.0024420024420024,-0.2119658119658112,0.8363851377126732,-0.0073260073260073,-0.8820512820512825,-2.5431067368581672,-0.0073260073260073,-0.0122100122100121,0.0,0.0,0.0,-1.2210012210012,-1.2210012210012249,-3.66300366300365,dynamics_20250930_194945_static.csv
0.096,0.021934843976501,-0.0549450549450547,6.202686202686181,-0.3138863508049141,-0.0048840048840048,0.4981684981684964,0.8423352101930259,-0.0048840048840048,1.7875457875457812,0.4636835278858644,-0.0073260073260073,-0.2119658119658112,0.8360036621652558,-0.0073260073260073,-0.8820512820512825,-2.5431067368581672,-0.0219780219780219,-0.017094017094017,-3.05250305250305,0.0,0.0,-1.2210012210012249,0.0,-3.66300366300365,dynamics_20250930_194945_static.csv
0.11,0.0150682841229876,0.006105006105006,6.398046398046432,-0.0557977569237806,-0.0048840048840048,0.3223443223443212,0.0561812466620885,-0.0048840048840048,0.0293040293040292,-0.0123979552910657,-0.0024420024420024,-0.0205128205128204,0.3393224994277855,-0.0073260073260073,-0.1846153846153839,3.504425116350042,-0.0073260073260073,-0.017094017094017,-3.052503052503,0.0,0.0,0.0,1.2210012210012249,0.0,dynamics_20250930_183525_static.csv
0.138,0.0127794308384832,-0.0183150183150182,6.4957264957265295,-0.3161872892347599,-0.0048840048840048,0.6153846153846132,0.8227772335393304,-0.219780219780219,4.249084249084262,0.4636835278858644,-0.0024420024420024,-0.2119658119658112,0.8363851377126732,-0.0024420024420024,-0.8820512820512825,-2.5431067368581672,-0.0073260073260073,-0.017094017094017,-3.052503052503049,0.0,0.0,-1.2210012210012249,0.0,-3.66300366300365,dynamics_20250930_194945_static.csv
